id,longitude,latitude,date
FRA 49,27°36.47'W,08°16.97'N,2020-11-18
FRA 27,27°38.95'W,09°50.93'N,2020-11-18
SUI 7,27°38.67'W,10°21.40'N,2020-11-18
FRA 30,28°37.68'W,10°21.88'N,2020-11-18
FRA 92,27°23.68'W,13°32.20'N,2020-11-18
ESP 33,26°08.43'W,18°17.86'N,2020-11-18
FRA 14,27°44.75'W,19°23.24'N,2020-11-18
GBR 777,28°07.41'W,19°26.43'N,2020-11-18
FRA 71,26°43.23'W,20°18.57'N,2020-11-18
JPN 11,23°24.02'W,24°38.97'N,2020-11-18
FIN 222,23°39.35'W,25°32.31'N,2020-11-18
FRA 72,24°31.92'W,26°11.61'N,2020-11-18
FRA 50,24°44.96'W,26°16.85'N,2020-11-18
FRA 83,23°56.34'W,27°32.24'N,2020-11-18
FRA 56,25°38.82'W,30°39.68'N,2020-11-18
FRA 8,07°02.23'W,45°41.39'N,2020-11-18
GBR 99,32°23.36'W,06°51.59'S,2020-11-19
FRA 59,30°53.42'W,06°09.20'S,2020-11-19
FRA 79,30°45.27'W,05°36.63'S,2020-11-19
FRA 01,30°07.59'W,03°54.95'S,2020-11-19
FRA 85,30°30.08'W,03°04.86'S,2020-11-19
FRA 18,30°44.90'W,02°56.68'S,2020-11-19
MON 10,29°43.43'W,01°57.00'S,2020-11-19
FRA 17,29°21.87'W,01°33.48'S,2020-11-19
FRA 109,30°28.69'W,01°42.03'S,2020-11-19
FRA 09,28°50.66'W,00°51.86'S,2020-11-19
FRA 4,29°12.06'W,00°50.83'S,2020-11-19
FRA 1000,29°08.89'W,00°08.48'S,2020-11-19
ITA 34,29°57.53'W,01°12.50'N,2020-11-19
FRA 53,29°27.43'W,01°55.86'N,2020-11-19
FRA 27,27°37.79'W,03°58.49'N,2020-11-19
FRA 49,27°09.05'W,04°16.50'N,2020-11-19
FRA 30,28°18.92'W,04°19.36'N,2020-11-19
SUI 7,27°24.84'W,04°46.79'N,2020-11-19
FRA 92,27°49.57'W,07°28.87'N,2020-11-19
ESP 33,27°25.84'W,13°06.79'N,2020-11-19
FRA 14,28°48.81'W,13°23.32'N,2020-11-19
GBR 777,29°26.78'W,13°53.77'N,2020-11-19
FRA 71,28°12.21'W,14°54.30'N,2020-11-19
JPN 11,23°54.85'W,20°39.81'N,2020-11-19
FIN 222,25°12.18'W,20°44.63'N,2020-11-19
FRA 50,26°04.89'W,20°43.64'N,2020-11-19
FRA 72,26°04.09'W,21°08.25'N,2020-11-19
FRA 83,25°43.72'W,22°22.05'N,2020-11-19
FRA 56,27°23.49'W,24°18.07'N,2020-11-19
FRA 8,13°44.69'W,42°57.86'N,2020-11-19
GBR 99,32°34.71'W,15°08.14'S,2020-11-20
FRA 59,30°27.96'W,14°09.27'S,2020-11-20
FRA 79,31°32.49'W,13°50.40'S,2020-11-20
FRA 01,30°20.58'W,10°28.91'S,2020-11-20
FRA 18,31°37.98'W,10°28.94'S,2020-11-20
FRA 85,32°01.57'W,10°28.09'S,2020-11-20
MON 10,31°04.23'W,09°07.50'S,2020-11-20
FRA 17,31°17.03'W,08°45.69'S,2020-11-20
FRA 109,32°05.17'W,08°53.13'S,2020-11-20
FRA 4,32°30.92'W,08°32.07'S,2020-11-20
FRA 09,30°21.76'W,06°14.00'S,2020-11-20
FRA 1000,31°02.20'W,05°37.64'S,2020-11-20
ITA 34,31°57.21'W,04°47.43'S,2020-11-20
FRA 53,30°21.24'W,02°51.16'S,2020-11-20
FRA 27,29°30.95'W,01°12.69'S,2020-11-20
FRA 49,29°20.60'W,00°21.85'S,2020-11-20
FRA 30,29°34.96'W,00°19.53'S,2020-11-20
SUI 7,28°51.71'W,00°14.27'N,2020-11-20
FRA 92,28°35.27'W,03°30.03'N,2020-11-20
ESP 33,27°36.93'W,08°15.03'N,2020-11-20
FRA 14,28°42.80'W,08°15.31'N,2020-11-20
GBR 777,29°09.54'W,08°39.90'N,2020-11-20
FRA 71,28°37.37'W,09°43.20'N,2020-11-20
FRA 50,27°24.06'W,15°36.86'N,2020-11-20
FIN 222,26°48.23'W,15°55.88'N,2020-11-20
FRA 72,27°15.95'W,16°03.38'N,2020-11-20
FRA 83,27°18.05'W,17°08.61'N,2020-11-20
JPN 11,25°15.03'W,18°02.58'N,2020-11-20
FRA 56,28°48.19'W,17°52.07'N,2020-11-20
FRA 8,16°15.64'W,36°58.72'N,2020-11-20
FRA 59,27°27.84'W,22°09.30'S,2020-11-21
GBR 99,28°52.87'W,22°34.89'S,2020-11-21
FRA 79,28°42.50'W,21°38.95'S,2020-11-21
FRA 01,28°20.74'W,17°02.01'S,2020-11-21
FRA 85,31°25.03'W,17°52.72'S,2020-11-21
FRA 18,31°20.73'W,17°37.63'S,2020-11-21
MON 10,31°16.01'W,16°51.55'S,2020-11-21
FRA 17,30°34.82'W,16°13.62'S,2020-11-21
FRA 4,32°18.96'W,16°44.47'S,2020-11-21
FRA 109,31°36.35'W,15°59.11'S,2020-11-21
FRA 09,29°56.76'W,11°58.68'S,2020-11-21
FRA 1000,30°58.34'W,11°35.52'S,2020-11-21
ITA 34,32°07.98'W,11°23.27'S,2020-11-21
